ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_Minutes
"1,562",Location 230 - Location 1,230,1,1,11.255887365402815
"1,569",Location 231 - Location 1,231,1,1,11.236525618727340
"1,576",Location 232 - Location 1,232,1,1,3.854862108364416
"1,583",Location 233 - Location 1,233,1,1,9.335987892256627
"1,590",Location 234 - Location 1,234,1,1,4.802451498004912
"1,597",Location 235 - Location 1,235,1,1,6.905628390040182
"1,604",Location 236 - Location 1,236,1,1,7.732064355843551
"1,611",Location 237 - Location 1,237,1,1,1.224188101722713
"1,618",Location 238 - Location 1,238,1,1,1.567744133028535
"1,625",Location 239 - Location 1,239,1,1,2.082151425375846
"1,632",Location 240 - Location 1,240,1,1,9.522064005976523
"1,639",Location 244 - Location 7,244,7,1,"1,612.071208309204200"
"1,646",Location 245 - Location 7,245,7,1,"1,808.682682650331600"
"1,653",Location 250 - Location 3,250,3,1,347.072543922535370
"1,660",Location 251 - Location 3,251,3,1,341.549050166833810
"1,667",Location 252 - Location 3,252,3,1,371.186223740193440
"1,674",Location 253 - Location 3,253,3,1,371.286582888636590
"1,681",Location 254 - Location 3,254,3,1,400.374267858752490
"1,688",Location 255 - Location 3,255,3,1,371.269243644853820
"1,695",Location 257 - Location 3,257,3,1,347.446324141729120
"1,702",Location 258 - Location 3,258,3,1,349.745580309513060
"1,709",Location 259 - Location 3,259,3,1,348.777827984974810
"1,716",Location 260 - Location 3,260,3,1,347.788686736852530
"1,723",Location 261 - Location 3,261,3,1,345.564760086992810
"1,730",Location 262 - Location 3,262,3,1,350.427041453336130
"1,737",Location 263 - Location 3,263,3,1,348.680849451093820
"1,744",Location 264 - Location 3,264,3,1,350.426436634138330
"1,751",Location 265 - Location 3,265,3,1,362.166519394105650
"1,758",Location 266 - Location 3,266,3,1,372.022778879201100
"1,765",Location 267 - Location 3,267,3,1,382.968297734158340
"1,772",Location 268 - Location 3,268,3,1,393.509388942261180
"1,779",Location 269 - Location 3,269,3,1,403.456812231597950
"1,786",Location 270 - Location 3,270,3,1,413.669121011548270
"1,793",Location 271 - Location 3,271,3,1,423.515783535460340
"1,800",Location 272 - Location 3,272,3,1,433.617609370563740
"1,807",Location 273 - Location 3,273,3,1,443.761434436445540
"1,814",Location 274 - Location 3,274,3,1,454.304907267800730
"1,821",Location 275 - Location 3,275,3,1,464.946439985401870
"1,828",Location 276 - Location 3,276,3,1,474.826833645293900
"1,835",Location 277 - Location 3,277,3,1,484.852561626573840
"1,842",Location 278 - Location 3,278,3,1,494.755852798378160
"1,849",Location 282 - Location 7,282,7,1,"2,227.071863429111100"
"1,856",Location 283 - Location 7,283,7,1,295.329363362427050
"1,863",Location 284 - Location 10,284,10,1,852.022928902339570
"1,870",Location 285 - Location 10,285,10,1,821.681911423994280
"1,877",Location 286 - Location 10,286,10,1,786.923711745864130
"1,884",Location 287 - Location 10,287,10,1,754.207332919042300
"1,891",Location 288 - Location 10,288,10,1,722.585063018045730
"1,898",Location 289 - Location 10,289,10,1,536.147523408262490
"1,905",Location 290 - Location 10,290,10,1,597.521410652401530
"1,912",Location 291 - Location 10,291,10,1,656.683295636365300
"1,919",Location 292 - Location 10,292,10,1,722.799076784642920
"1,926",Location 293 - Location 10,293,10,1,781.807918840410480
"1,933",Location 294 - Location 10,294,10,1,823.789664004240650
"1,940",Location 295 - Location 10,295,10,1,764.048185366327290
"1,947",Location 296 - Location 10,296,10,1,704.599518325736080
"1,954",Location 297 - Location 10,297,10,1,645.409488236931110
"1,961",Location 298 - Location 10,298,10,1,585.809973276916930
"1,968",Location 299 - Location 10,299,10,1,526.771758969194820
"1,975",Location 301 - Location 7,301,7,1,"1,949.797464485642600"
"1,982",Location 302 - Location 1,302,1,1,14.614317689801686
"1,989",Location 303 - Location 1,303,1,1,25.009963676039870
"1,996",Location 304 - Location 1,304,1,1,14.059589410712084
"2,003",Location 305 - Location 1,305,1,1,19.602505532901283
"2,010",Location 306 - Location 1,306,1,1,19.607966122626195
"2,017",Location 307 - Location 1,307,1,1,20.055684720669468
"2,024",Location 308 - Location 1,308,1,1,19.440708951873308
"2,031",Location 309 - Location 1,309,1,1,19.861008420617420
"2,038",Location 310 - Location 1,310,1,1,19.191420657377986
"2,045",Location 311 - Location 1,311,1,1,19.332657586601744
"2,052",Location 312 - Location 1,312,1,1,18.402582528634575
"2,059",Location 313 - Location 1,313,1,1,18.437565873747069
"2,066",Location 314 - Location 1,314,1,1,18.226725296745400
"2,073",Location 315 - Location 1,315,1,1,17.137038042296499
"2,080",Location 316 - Location 1,316,1,1,17.129847464974034
"2,087",Location 319 - Location 10,319,10,1,"1,065.087462789389300"
"2,094",Location 320 - Location 10,320,10,1,"1,035.015779599290000"
"2,101",Location 321 - Location 10,321,10,1,"1,005.155818652449900"
"2,108",Location 322 - Location 10,322,10,1,970.283402075584950
"2,115",Location 323 - Location 10,323,10,1,938.463294745725880
"2,122",Location 324 - Location 10,324,10,1,908.474053701022290
"2,129",Location 325 - Location 10,325,10,1,"1,098.816743768435600"
"2,136",Location 326 - Location 10,326,10,1,"1,174.170778916820800"
"2,143",Location 327 - Location 10,327,10,1,"1,172.779517664263700"
"2,150",Location 328 - Location 10,328,10,1,"1,015.940681856740400"
"2,157",Location 329 - Location 10,329,10,1,887.109020904571930
"2,164",Location 330 - Location 10,330,10,1,826.674500826629920
"2,171",Location 331 - Location 10,331,10,1,762.039363044158110
"2,178",Location 332 - Location 10,332,10,1,"1,164.270554637723300"
"2,185",Location 333 - Location 10,333,10,1,"1,083.050821612144100"
"2,192",Location 334 - Location 10,334,10,1,"1,022.191731790534300"
"2,199",Location 335 - Location 10,335,10,1,719.750410507360240
"2,206",Location 336 - Location 10,336,10,1,657.910804659794510
"2,213",Location 337 - Location 10,337,10,1,578.059120383803020
"2,220",Location 338 - Location 10,338,10,1,517.540852389604080
"2,227",Location 339 - Location 10,339,10,1,507.312201352062400
"2,234",Location 340 - Location 10,340,10,1,435.113703322240550
"2,241",Location 341 - Location 10,341,10,1,375.547827341320160
"2,248",Location 342 - Location 10,342,10,1,314.247497735552830
"2,255",Location 343 - Location 10,343,10,1,253.921580612004110
"2,262",Location 344 - Location 10,344,10,1,531.487591631617650
"2,269",Location 345 - Location 10,345,10,1,469.698681514066550
"2,276",Location 346 - Location 10,346,10,1,355.045187777422830
"2,283",Location 347 - Location 10,347,10,1,293.771866785293070
